item_id,restaurant_id,item_name,category,price,is_veg
1,1,Hakka Noodles,Main,121,1
2,1,Honey Noodles with Ice Cream,Dessert,73,1
3,1,Iced Tea,Beverage,70,1
4,1,Chilli Oil,Add-on,33,1
5,1,Manchurian (Dry),Main,122,1
6,1,Hakka Noodles,Main,136,1
7,1,Paneer Chilli,Main,165,1
8,1,Iced Tea,Beverage,69,1
9,1,Chilli Oil,Add-on,40,1
10,1,Sprite,Beverage,65,1
11,1,Hakka Noodles,Main,176,1
12,1,Date Pancake,Dessert,91,1
13,1,Lemonade,Beverage,56,1
14,1,Fried Rice,Main,191,1
15,1,Chilli Chicken,Main,127,0
16,1,Manchurian (Dry),Main,127,1
17,1,Chilli Chicken,Main,165,0
18,1,Spring Rolls,Add-on,46,1
19,1,Chilli Oil,Add-on,34,1
20,1,Manchurian (Dry),Main,125,1
21,1,Extra Schezwan Sauce,Add-on,48,1
22,1,Paneer Chilli,Main,186,1
23,1,Chilli Chicken,Main,163,0
24,1,Hakka Noodles,Main,123,1
25,1,Momos,Add-on,47,1
26,1,Coke,Beverage,73,1
27,1,Hakka Noodles,Main,148,1
28,1,Prawn Crackers,Add-on,44,0
29,1,Extra Schezwan Sauce,Add-on,35,1
30,1,Chilli Chicken,Main,135,0
31,2,Extra Sauce,Add-on,44,1
32,2,Chef Special Dish,Main,160,1
33,2,Chef Special Dish,Main,132,1
34,2,Special Pastry,Dessert,74,1
35,2,Brownie,Dessert,91,1
36,2,Coke,Beverage,68,1
37,2,Special Thali,Main,137,1
38,2,Special Thali,Main,180,1
39,2,Pickle,Add-on,37,1
40,2,Side Salad,Add-on,50,1
41,2,House Curry,Main,135,1
42,2,Pickle,Add-on,39,1
43,2,Special Platter,Main,130,1
44,2,Ice Cream Scoop,Dessert,73,1
45,2,House Curry,Main,176,1
46,2,Pickle,Add-on,49,1
47,2,Special Platter,Main,147,1
48,2,Side Salad,Add-on,42,1
49,3,Extra Sauce,Add-on,49,1
50,3,Chef Special Dish,Main,167,1
51,3,Brownie,Dessert,80,1
52,3,Water Bottle,Beverage,59,1
53,3,Brownie,Dessert,103,1
54,3,Sprite,Beverage,77,1
55,3,Extra Sauce,Add-on,45,1
56,3,Ice Cream Scoop,Dessert,91,1
57,3,House Curry,Main,177,1
58,3,House Curry,Main,128,1
