session_id,user_id,restaurant_id,session_start_time,is_ordered
1,33554,1310,2026-01-04 21:01:00,1
2,31484,1210,2026-01-14 19:02:00,1
3,19837,55,2026-01-18 23:12:00,1
4,26447,570,2026-01-26 14:55:00,1
5,30408,1651,2026-01-06 20:44:00,1
6,48257,690,2026-01-04 09:05:00,1
7,18129,89,2026-01-24 23:29:00,1
8,42492,1993,2026-01-30 09:24:00,1
9,15516,1814,2026-01-28 17:23:00,1
10,23826,1752,2026-01-08 10:55:00,1
11,42488,570,2026-01-15 01:40:00,0
12,40531,547,2026-01-23 15:59:00,1
13,2211,1094,2026-01-24 22:15:00,1
14,1778,1141,2026-01-08 20:43:00,0
15,33047,1684,2026-01-02 17:51:00,1
16,49299,1343,2026-01-16 16:25:00,1
17,33291,506,2026-01-24 19:35:00,1
18,23214,284,2026-01-17 20:31:00,1
19,43356,1286,2026-01-06 15:50:00,0
20,20653,1763,2026-01-31 22:00:00,1
21,42709,1813,2026-01-18 03:48:00,1
22,3224,891,2026-01-06 13:29:00,1
23,19681,1794,2026-01-24 21:16:00,1
24,21210,1281,2026-01-10 20:53:00,1
25,31886,1248,2026-01-07 19:09:00,1
26,16256,1227,2026-01-11 20:31:00,0
27,38842,494,2026-01-29 13:36:00,1
28,11612,1499,2026-01-16 02:52:00,1
29,35438,258,2026-01-05 01:42:00,1
30,9494,1081,2026-01-28 19:38:00,1
31,42913,1547,2026-01-24 23:44:00,1
32,22525,639,2026-01-13 21:42:00,0
33,37014,693,2026-01-01 14:37:00,1
34,4657,452,2026-01-01 14:04:00,1
35,8495,121,2026-01-08 14:04:00,1
36,179,677,2026-01-03 14:32:00,1
37,16424,1105,2026-01-05 15:46:00,1
38,38719,390,2026-01-04 20:06:00,1
39,24584,842,2026-01-15 15:55:00,1
40,36635,695,2026-01-26 19:55:00,1
41,23138,1099,2026-01-15 21:08:00,1
42,17735,512,2026-01-28 20:59:00,1
43,27340,1655,2026-01-28 13:54:00,1
44,46025,1108,2026-01-27 13:00:00,0
45,3426,1739,2026-01-08 21:10:00,1
46,28073,986,2026-01-07 08:55:00,1
47,28487,338,2026-01-13 02:00:00,1
48,18739,1898,2026-01-26 22:50:00,1
49,43483,1961,2026-01-24 19:50:00,1
50,39033,608,2026-01-07 13:03:00,1
51,6755,1111,2026-01-02 14:47:00,1
52,21589,1883,2026-01-28 19:33:00,1
53,32892,1744,2026-01-06 19:04:00,1
54,36681,1766,2026-01-08 22:25:00,0
55,14827,1218,2026-01-02 20:39:00,1
56,18515,1158,2026-01-17 16:20:00,1
57,47398,644,2026-01-08 14:16:00,1
58,2451,1917,2026-01-03 13:00:00,0
59,18326,544,2026-01-05 23:59:00,1
60,10642,584,2026-01-06 06:28:00,1
61,9946,1653,2026-01-21 08:33:00,1
62,40412,614,2026-01-30 16:42:00,1
63,22399,542,2026-01-04 20:56:00,1
64,6424,1134,2026-01-05 21:17:00,1
65,46787,1408,2026-01-21 22:54:00,0
66,13188,1699,2026-01-09 13:02:00,1
67,11713,1580,2026-01-05 13:40:00,1
68,8189,1519,2026-01-15 10:35:00,1
69,10018,1118,2026-01-02 08:53:00,1
