user_id,segment,city,preferred_zone,historical_order_freq_monthly,account_age_days,favorite_category,time_habit
1,budget,Delhi NCR,North,10,769,None,None
2,premium,Bangalore,South,12,238,Dessert,Dinner
3,budget,Mumbai,North,12,702,None,None
4,mid-range,Pune,North,6,614,None,None
5,mid-range,Hyderabad,North,6,40,None,Morning
6,mid-range,Delhi NCR,South,5,248,None,Lunch
7,mid-range,Pune,Central,8,37,None,None
8,occasional,Pune,South,1,743,Bread,Dinner
9,budget,Pune,West,16,235,None,None
10,mid-range,Hyderabad,Central,6,294,None,LateNight
11,budget,Delhi NCR,South,9,724,None,Lunch
12,budget,Hyderabad,East,19,294,Bread,Dinner
13,occasional,Mumbai,South,2,990,Add-on,None
14,budget,Bangalore,North,18,104,None,None
15,budget,Hyderabad,North,18,377,None,None
16,mid-range,Bangalore,Central,6,280,None,Dinner
17,budget,Delhi NCR,West,17,559,Beverage,Dinner
18,budget,Delhi NCR,West,18,90,None,None
19,premium,Pune,East,7,859,None,None
20,budget,Pune,East,19,601,Beverage,Lunch
21,premium,Mumbai,North,8,56,Beverage,Dinner
22,mid-range,Mumbai,East,7,91,Beverage,Morning
23,mid-range,Mumbai,North,6,399,None,None
24,mid-range,Bangalore,West,7,660,None,Lunch
25,occasional,Bangalore,South,1,389,Beverage,None
26,budget,Bangalore,South,9,696,None,None
27,occasional,Bangalore,North,2,633,Add-on,Dinner
28,budget,Mumbai,Central,19,756,Add-on,Lunch
29,premium,Mumbai,South,11,483,None,None
30,mid-range,Hyderabad,East,10,957,Beverage,Dinner
31,budget,Pune,South,4,711,None,None
32,budget,Bangalore,North,16,244,Add-on,None
33,mid-range,Delhi NCR,East,5,420,Bread,LateNight
34,budget,Bangalore,North,20,226,None,None
35,budget,Pune,East,15,227,None,None
36,budget,Hyderabad,West,13,915,Add-on,None
37,budget,Hyderabad,South,16,281,None,Lunch
38,mid-range,Mumbai,South,7,772,None,Dinner
39,budget,Pune,Central,20,279,None,None
40,premium,Pune,West,16,929,None,None
41,budget,Pune,West,21,380,None,Lunch
42,budget,Mumbai,South,18,531,Dessert,None
43,mid-range,Hyderabad,North,9,783,None,None
44,budget,Delhi NCR,North,14,166,Add-on,Dinner
45,budget,Mumbai,West,19,620,None,Lunch
46,budget,Delhi NCR,West,17,400,None,Dinner
47,occasional,Pune,West,1,551,None,Dinner
48,premium,Bangalore,Central,15,891,Add-on,Dinner
49,mid-range,Delhi NCR,North,8,708,None,None
50,mid-range,Pune,East,10,797,None,None
51,mid-range,Bangalore,North,11,310,None,Dinner
52,budget,Hyderabad,South,20,474,None,Dinner
53,mid-range,Delhi NCR,East,9,522,None,None
54,budget,Mumbai,Central,18,944,None,None
55,occasional,Delhi NCR,East,2,871,Dessert,Dinner
56,mid-range,Pune,Central,7,213,None,Morning
57,budget,Mumbai,East,11,790,None,Lunch
58,budget,Mumbai,Central,18,986,Add-on,LateNight
59,occasional,Pune,North,1,623,Bread,LateNight
60,premium,Bangalore,West,14,29,None,None
61,premium,Delhi NCR,East,9,909,None,LateNight
62,mid-range,Bangalore,South,6,69,None,None
63,mid-range,Mumbai,Central,11,979,Beverage,Lunch
64,mid-range,Delhi NCR,North,8,759,None,None
65,premium,Hyderabad,North,12,788,Add-on,Lunch
66,mid-range,Pune,South,8,141,Beverage,Lunch
67,mid-range,Hyderabad,Central,8,179,None,None
68,budget,Bangalore,Central,15,903,None,None
69,mid-range,Pune,West,2,997,None,None
70,budget,Mumbai,Central,16,783,Beverage,None
71,budget,Mumbai,East,21,418,None,Lunch
72,budget,Bangalore,West,15,931,None,Lunch
73,mid-range,Pune,West,12,133,Bread,Lunch
74,budget,Mumbai,South,18,75,Beverage,None
75,mid-range,Bangalore,North,5,612,None,None
76,budget,Pune,South,21,612,None,Dinner
77,mid-range,Mumbai,North,9,82,Dessert,Morning
78,budget,Delhi NCR,South,21,79,None,Dinner
79,budget,Delhi NCR,East,14,82,None,Morning
80,mid-range,Pune,South,13,295,None,Morning
81,budget,Hyderabad,South,21,562,None,None
82,mid-range,Mumbai,Central,11,600,None,Dinner
83,mid-range,Hyderabad,South,7,813,None,LateNight
84,mid-range,Hyderabad,West,8,204,None,Lunch
85,mid-range,Delhi NCR,North,10,684,None,LateNight
86,occasional,Hyderabad,East,2,443,None,None
87,budget,Hyderabad,West,13,894,None,Dinner
88,budget,Delhi NCR,North,15,72,Beverage,None
89,budget,Hyderabad,East,18,829,Add-on,Dinner
90,premium,Delhi NCR,South,16,206,None,None
91,mid-range,Mumbai,Central,2,469,Beverage,None
92,occasional,Mumbai,West,1,197,Add-on,Morning
93,mid-range,Bangalore,West,6,265,Add-on,Lunch
94,premium,Delhi NCR,West,12,837,None,Dinner
95,budget,Pune,North,13,61,Bread,LateNight
96,mid-range,Pune,North,6,105,Dessert,Morning
97,budget,Mumbai,South,19,426,Beverage,Dinner
98,mid-range,Hyderabad,West,4,228,None,Morning
99,budget,Hyderabad,North,6,178,Add-on,None
100,budget,Hyderabad,North,22,409,None,Dinner
101,mid-range,Bangalore,West,6,302,Beverage,Dinner
102,budget,Hyderabad,Central,15,687,None,LateNight
103,budget,Hyderabad,South,19,204,Add-on,LateNight
104,mid-range,Bangalore,South,6,69,None,None
105,mid-range,Pune,Central,1,72,Add-on,None
106,mid-range,Bangalore,North,12,61,None,Morning
107,budget,Pune,West,20,524,None,LateNight
108,budget,Pune,South,18,68,None,Dinner
109,budget,Pune,North,15,881,Bread,None
110,mid-range,Mumbai,North,10,619,Bread,Lunch
111,mid-range,Delhi NCR,South,6,423,Dessert,Lunch
112,occasional,Delhi NCR,Central,3,262,None,None
113,occasional,Pune,Central,1,50,Dessert,None
114,budget,Pune,North,18,439,None,None
115,mid-range,Pune,Central,2,545,Beverage,Lunch
116,budget,Bangalore,East,16,219,Add-on,Dinner
117,occasional,Bangalore,South,2,281,None,LateNight
118,premium,Hyderabad,South,16,697,None,None
119,budget,Bangalore,West,16,333,None,LateNight
120,premium,Delhi NCR,North,8,479,Beverage,Morning
121,mid-range,Pune,Central,7,112,Add-on,Dinner
122,occasional,Delhi NCR,Central,1,228,Bread,Lunch
123,mid-range,Pune,East,7,145,None,LateNight
124,mid-range,Bangalore,North,3,910,None,Lunch
125,mid-range,Mumbai,East,5,301,Dessert,Lunch
126,mid-range,Mumbai,West,7,863,None,Dinner
127,mid-range,Pune,East,11,636,None,None
128,budget,Pune,North,15,693,Beverage,Lunch
129,mid-range,Pune,East,6,964,None,None
130,mid-range,Delhi NCR,South,6,280,None,Morning
131,occasional,Delhi NCR,North,2,770,Beverage,None
132,mid-range,Pune,South,1,288,Add-on,LateNight
133,budget,Bangalore,Central,14,225,None,Morning
134,occasional,Bangalore,South,2,713,None,None
135,mid-range,Bangalore,Central,7,510,None,None
136,budget,Bangalore,North,14,104,None,Lunch
137,budget,Hyderabad,East,17,55,None,Lunch
